study_id,reference,ecosystem,method,time1,time2,temperature,duration,LnR_m,mean_trt,mean_ctrl,SD_trt,SD_ctrl,N_trt,N_ctrl,n,lnR,vt,vc,v,vn,w,lnRi
1,Xu et al. 2012,1,1,1,1,0.6,5,-0.140112769,10.95,7.37,2.28,4.24,6,1,2,0.39592175,0.007225871,0.330976179,0.33820205,0.676404099,1.478406179,0.585333162
1,,1,1,1,1,0.6,5,-0.093818755,28.29,18.1,4.55,8.5,6,1,2,0.446596447,0.004311274,0.220536614,0.224847888,0.449695776,2.22372558,0.993107943
3,Dawes et al. 2011,1,3,1,2,3.9,3,-0.172233866,12.54,8.69,8.28,4.69,20,20,2,0.366750596,0.021798951,0.014563848,0.036362799,0.072725599,13.75031646,5.042936756
3,,1,3,1,2,3.1,27,-0.085692258,12.68,7.53,10.95,7.36,20,20,2,0.521130907,0.037287197,0.047767848,0.085055045,0.170110091,5.87854604,3.063492031
4,Larsen et al. 2011,2,5,2,1,1.5,18,,0.52,0.41,0.6,0.52,6,6,1,0.230451745,0.222548366,0.266038576,0.488586941,0.488586941,2.046718639,0.471669881
5,Ma et al. 2011,3,2,1,1,1.8,12,-0.15116534,20.19,19.77,1.75,2.21,6,6,3,0.021021795,0.001252138,0.002082668,0.003334806,0.010004417,99.95585069,2.101251417
5,,3,2,1,1,1.8,24,-0.122456885,20.28,19.97,1.94,1.29,6,6,3,0.015404031,0.001525163,0.00069546,0.002220623,0.006661869,150.1080265,2.312268739
5,,3,2,1,1,1.8,36,-0.133348677,20.89,20.47,2.21,2.03,6,6,3,0.020310176,0.001865333,0.001639099,0.003504432,0.010513296,95.11764867,1.931856175
7,Rui et al. 2011,3,2,1,2,1.45,39,-0.42658925,27.28,29.51,4.8,2.39,4,4,3,-0.078575356,0.007739872,0.001639825,0.009379696,0.028139088,35.53775409,-2.792391678
7,,3,2,1,2,1.45,2,,125.73,128.67,18.96,28.45,4,4,3,-0.023114237,0.00568511,0.012222216,0.017907325,0.053721976,18.61435614,-0.430256632
7,,3,2,1,2,1.45,3,,78.76,59.34,19.5,13.05,4,4,3,0.283121639,0.015324906,0.012091104,0.02741601,0.082248029,12.15834607,3.442290866
8,Xiong et al. 2010,1,2,1,3,6.7,2,-0.011430176,125.73,128.67,18.96,28.45,4,4,4,-0.023114237,0.00568511,0.012222216,0.017907325,0.071629302,13.9607671,-0.322692474
8,,1,2,1,3,6.7,3,-0.428302428,78.76,59.34,19.5,13.05,4,4,4,0.283121639,0.015324906,0.012091104,0.02741601,0.109664039,9.118759554,2.58171815
8,,1,2,1,3,6.7,5,-0.30492404,72.3,59.21,30.27,13.46,4,4,4,0.199733683,0.043821603,0.01291933,0.056740933,0.226963732,4.405990291,0.880024666
7,,3,2,1,2,1.45,5,,72.3,59.21,30.27,13.46,4,4,4,0.199733683,0.043821603,0.01291933,0.056740933,0.226963732,4.405990291,0.880024666
9,Malchair et al. 2010,3,4,1,1,3,16,,1.31,0.12,1,0.29,6,6,3,2.390290673,0.097915499,0.999600167,1.097515666,3.292546997,0.303716242,0.7259701
9,,3,4,1,1,3,16,,1.75,0.72,1.25,1.2,6,6,3,0.888119855,0.084896654,0.462970679,0.547867333,1.643602,0.6084198,0.540349705
9,,3,4,1,1,3,28,,1.62,1.78,1.13,0.17,6,6,3,-0.094187215,0.080595715,0.001545904,0.082141619,0.246424857,4.058032188,-0.38221475
10,Chen et al. 2010,1,2,2,1,4.19,20,,6.21,3.09,0.7,0.3,5,5,2,0.699281179,0.002567041,0.001912887,0.004479928,0.008959856,111.6089369,78.04602894
10,,1,2,2,1,4.19,25,,3.85,2.95,0.15,0.1,5,5,2,0.267884537,0.000303435,0.000230444,0.000533878,0.001067757,936.5428745,250.8853541
11,Patil et al. 2010,4,3,1,1,5,2,-0.007205945,49.94,42.1,39.92,35.48,8,8,6,0.170836913,0.079863289,0.088786489,0.168649778,1.011898668,0.988241246,0.168828083
11,,4,3,1,1,5,4,-0.009105567,31.51,21.31,10.51,10.51,8,8,6,0.390958817,0.013913832,0.030418754,0.044332586,0.265995514,3.759461893,1.469794775
11,,4,3,1,1,5,5,-0.009026935,45.66,37.99,11.65,12.86,8,8,6,0.18380636,0.008145448,0.014324419,0.022469867,0.134819204,7.417340956,1.363354439
11,,4,3,1,1,5,8,-0.026770273,64.02,46.28,19.35,14.09,8,8,6,0.324396725,0.011426377,0.011592507,0.023018884,0.138113304,7.240432091,2.348772457
11,,4,3,1,1,5,9,-0.018877491,56.93,34.96,21.45,12.79,8,8,6,0.487715653,0.017743515,0.016745925,0.034489441,0.206936643,4.832396934,2.356835626
11,,4,3,1,1,5,10,,56.18,37.24,15.14,12.2,8,8,6,0.411082251,0.009079933,0.013404073,0.022484006,0.134904038,7.412676538,3.047219757
12,Allison et al. 2010,1,4,1,2,1.2,12,-0.174155005,72.9,59.4,87.9,98.66,10,10,1,0.204794413,0.145386035,0.275873086,0.421259121,0.421259121,2.373835842,0.486148317
13,Dijkstra et al. 2010,3,2,1,1,2.25,4,-0.088009523,0.38,0.3,0.11,0.09,5,5,6,0.236388778,0.017311967,0.017776697,0.035088664,0.210531982,4.749872162,1.122816476
13,,3,2,1,1,2.25,12,-0.087863822,0.15,0.12,0.02,0.02,5,5,6,0.223143551,0.004444174,0.006944022,0.011388196,0.068329179,14.63503615,3.26571394
13,,3,2,1,1,2.25,16,-0.100103499,0.46,0.28,0.25,0.09,5,5,6,0.496436886,0.057179888,0.020406922,0.077586811,0.465520863,2.148131435,1.066411681
13,,3,2,1,1,2.25,4,-0.088009523,0.3,0.27,0.07,0.11,5,5,6,0.105360516,0.009999392,0.034291468,0.04429086,0.265745159,3.763003644,0.396472004
13,,3,2,1,1,2.25,12,-0.087863822,0.24,0.24,0.04,0.07,5,5,6,0,0.006944022,0.01562405,0.022568072,0.135408433,7.385064397,0
13,,3,2,1,1,2.25,16,-0.100103499,0.47,0.34,0.13,0.07,5,5,6,0.323787077,0.016295976,0.007784994,0.02408097,0.144485819,6.92109444,2.240960939
15,Turner et al. 2010,3,2,1,3,2.5,5,,2.57,2.57,3.76,6.64,10,10,5,0,0.212928641,0.666057035,0.878985676,4.394928379,0.227534993,0
15,,3,2,1,3,2.5,5,,40.58,15.58,48.65,17.63,10,10,5,0.957405936,0.14372569,0.128154551,0.27188024,1.359401202,0.735618005,0.704285044
15,,3,2,1,3,2.5,10,,3.45,0.56,4.31,0.63,10,10,5,1.810785361,0.156231879,0.123588162,0.279820041,1.399100207,0.714745088,1.294249942
15,,3,2,1,3,2.5,12,,11.83,15.58,9.12,17.63,10,10,5,-0.275410414,0.059475174,0.128154551,0.187629724,0.938148622,1.065929189,-0.293567999
15,,3,2,1,3,2.5,17,,3.42,0.56,3.7,0.63,10,10,5,1.802633933,0.116786529,0.123588162,0.240374692,1.201873458,0.832034349,1.499853351
16,Sorensen et al. 2008,2,4,1,2,1.6,25,,20.8,27.45,12.5,16.04,6,6,2,-0.277413181,0.060192462,0.056907929,0.117100391,0.234200781,4.269840581,-1.184510059
16,,2,4,1,2,1.6,37,,22.92,28.31,14.39,15.57,6,6,2,-0.211205207,0.06569633,0.050413429,0.116109759,0.232219518,4.306270242,-0.909506699
17,Sardans et al. 2008,2,2,2,1,0.95,74,0.024258292,4.03,3.54,2.75,3.29,3,3,4,0.129639649,0.155662556,0.288071755,0.44373431,1.774937241,0.563400202,0.073039004
17,,2,2,2,1,0.95,64,0.055473746,23.74,9,12.12,8.05,3,3,4,0.969936812,0.086943006,0.266944444,0.35388745,1.415549801,0.706439292,0.685201475
17,,2,2,2,1,0.95,67,0.071754737,19.77,9.75,7.57,4.16,3,3,4,0.706898352,0.048859558,0.060591716,0.109451274,0.437805097,2.284121423,1.61464167
17,,2,2,2,1,0.95,70,-0.352982326,26.36,20.08,5.23,6.22,3,3,4,0.272123415,0.013125718,0.031964026,0.045089745,0.180358978,5.544498039,1.50878774
18,Rinnan et al. 2008,2,1,1,1,1,84,0.056695344,1.46,1.75,0.88,1,6,6,2,-0.181179352,0.0607994,0.054889796,0.115689195,0.231378391,4.321924776,-0.783043531
18,,2,1,1,1,1,84,0.022161572,3.03,3.35,1.45,1.13,6,6,2,-0.100397726,0.037915673,0.018854979,0.056770652,0.113541303,8.807367645,-0.884239686
19,Sardans et al. 2008 (2),2,2,2,1,0.95,70,,8.05,12.23,5.35,12.23,3,3,1,-0.418219858,0.147341538,0.333239511,0.480581048,0.480581048,2.080814471,-0.870237933
21,Hovenden et al. 2007,3,2,1,1,0.82,24,,2.34,3.35,0.99,1.08,3,3,3,-0.356632263,0.059993878,0.034450209,0.094444087,0.283332262,3.529425109,-1.258706863
21,,3,2,1,1,0.82,36,,9.94,10.76,1.16,1.74,3,3,3,-0.078587351,0.004528177,0.008711553,0.01323973,0.039719189,25.17674765,-1.978573911
21,,3,2,1,1,0.82,48,,8.7,8.51,1.57,1.99,3,3,3,0.022196019,0.010894263,0.018172529,0.029066791,0.087200374,11.46784067,0.254540409
27,Weedon et al. 2012,5,1,1,2,0.55,108,,0,0,0.01,0.01,5,5,1,0.437708035,0.996317914,1.00109164,1.997409554,1.997409554,0.500648451,0.21913785
28,Yin et al. 2012a,1,2,3,1,2.1,15,-0.038714522,10.71,10.31,0.96,0.94,5,5,2,0.038063586,0.00161362,0.00165899,0.00327261,0.00654522,152.7832501,5.815478447
28,,1,2,3,1,2.1,15,-0.038714522,10.94,10.54,0.94,1.14,5,5,2,0.037248254,0.00147342,0.002339691,0.003813111,0.007626222,131.1265344,4.884234442
29,Yin et al. 2012b,1,2,2,1,3.7,37,,19.53,29.4,5.64,6.04,4,4,6,-0.408906866,0.020834624,0.010554494,0.031389118,0.188334706,5.30969581,-2.171171072
29,,1,2,2,1,3.7,39,,22.35,31.61,6.44,9.26,4,4,6,-0.346723584,0.020777825,0.021462143,0.042239968,0.253439809,3.945710039,-1.368070726
29,,1,2,2,1,3.7,41,,32.01,23.56,1.61,2.42,4,4,6,0.306719054,0.000633109,0.002629626,0.003262734,0.019576406,51.08189984,15.667792
29,,1,2,2,1,3.7,37,,30,29.4,4.03,3.22,4,4,6,0.020338771,0.004504647,0.003001546,0.007506193,0.045037157,22.20388836,0.451599801
29,,1,2,2,1,3.7,39,,46.31,48.52,8.86,8.46,4,4,6,-0.046722194,0.009149105,0.00759201,0.016741115,0.100446689,9.955529739,-0.465144194
29,,1,2,2,1,3.7,41,,19.73,17.32,2.01,4.03,4,4,6,0.130668506,0.002604454,0.01352254,0.016126994,0.096761966,10.33463918,1.350411856
31,Zhang et al.2005,3,2,1,1,1.8,22,,8.31,11.65,5.14,4.77,3,3,3,-0.338653373,0.127552741,0.055870719,0.18342346,0.550270379,1.817288443,-0.615430862
31,,3,2,1,1,1.8,30,,13.47,14.32,5.12,5.4,5,5,3,-0.060990385,0.028834886,0.028440343,0.057275229,0.171825686,5.819851644,-0.354954991
31,,3,2,1,1,1.8,34,,7.63,8.56,2.46,4.74,5,5,3,-0.115310431,0.020864004,0.06127061,0.082134614,0.246403843,4.058378258,-0.467973347
32,Shaw et al.2001,3,2,1,1,1.75,5,,14.36,10.2,11.87,8.75,5,5,23,0.342058843,0.136735147,0.147257224,0.283992371,6.531824532,0.15309658,0.052368039
32,,3,2,1,1,1.75,7,-0.134221762,7.8,9.31,4.92,8.3,5,5,23,-0.177672229,0.079614156,0.158672505,0.23828666,5.480593185,0.182462001,-0.03241843
32,,3,2,1,1,1.75,17,,16.17,18.93,5.63,8.21,5,5,23,-0.157590292,0.024287401,0.037650132,0.061937533,1.424563267,0.701969525,-0.110623582
32,,3,2,1,1,1.75,19,-0.099898153,6.26,7.13,3.22,3.5,5,5,23,-0.130092077,0.052880902,0.048141991,0.101022893,2.323526539,0.430380279,-0.055989064
32,,3,2,1,1,1.75,41,,3.82,5.02,3.67,2.32,5,5,23,-0.273179511,0.184315123,0.042611042,0.226926165,5.219301789,0.191596509,-0.052340241
32,,3,2,1,1,1.75,43,,8.03,9.87,6.78,9.27,5,5,23,-0.206222504,0.142239954,0.176145429,0.318385382,7.322863791,0.136558596,-0.028161456
32,,3,2,1,1,1.75,5,,9.78,8.81,8.21,6.59,5,5,23,0.104452044,0.140816783,0.111862602,0.252679385,5.811625859,0.172068888,0.017972947
32,,3,2,1,1,1.75,7,-0.048641807,12.77,4.76,12.07,5.84,5,5,23,0.986851002,0.178815732,0.300824647,0.479640379,11.03172872,0.090647624,0.089455699
32,,3,2,1,1,1.75,17,,19.3,20.27,6.17,9.61,5,5,23,-0.049036865,0.020450482,0.044992333,0.065442815,1.505184741,0.664370275,-0.032578635
32,,3,2,1,1,1.75,19,-0.043017385,8,6.08,7.29,1.86,5,5,23,0.274351302,0.166139309,0.018783066,0.184922376,4.253214639,0.235116279,0.064504457
32,,3,2,1,1,1.75,41,,12.57,9.06,16.3,14.78,5,5,23,0.327443903,0.336344632,0.532044921,0.868389553,19.97295972,0.050067692,0.016394361
32,,3,2,1,1,1.75,43,,7.95,5.21,3.78,3.29,5,5,23,0.422519441,0.045144229,0.079432762,0.12457699,2.865270774,0.349007155,0.147462308
32,,3,2,1,1,1.75,7,-0.134221762,0.08,0.16,0.07,0.01,5,5,23,-0.693147181,0.140625,0.001310196,0.141935196,3.26450951,0.306324732,-0.212328124
32,,3,2,1,1,1.75,17,,1.32,0.45,1.3,0.13,5,5,23,1.076139433,0.193067034,0.015498988,0.208566022,4.797018499,0.208462819,0.22433506
32,,3,2,1,1,1.75,19,-0.099898153,0.66,0.83,0.4,0.23,5,5,23,-0.229185866,0.074380165,0.015143851,0.089524016,2.059052368,0.485660304,-0.111306477
32,,3,2,1,1,1.75,41,,0.46,0.47,0.27,0.06,5,5,23,-0.021506205,0.06805293,0.002939584,0.070992514,1.632827827,0.612434443,-0.013171141
32,,3,2,1,1,1.75,48,,6.62,4.87,2.48,3.02,5,5,23,0.307001433,0.028114475,0.077158275,0.10527275,2.421273259,0.413005842,0.126793385
32,,3,2,1,1,1.75,5,,0.97,2.34,0.72,0.48,5,5,23,-0.880610137,0.108831969,0.008491472,0.117323441,2.698439148,0.370584603,-0.326340558
32,,3,2,1,1,1.75,7,-0.048641807,0.46,0.37,0.49,0.09,5,5,23,0.217723484,0.228733459,0.012145655,0.240879114,5.540219627,0.18049826,0.03929871
32,,3,2,1,1,1.75,17,,0.37,0.38,0.45,0.1,5,5,23,-0.026668247,0.292184076,0.013936712,0.306120788,7.040778118,0.142029756,-0.003787685
32,,3,2,1,1,1.75,19,-0.043017385,0.63,0.61,0.49,0.22,5,5,23,0.032260862,0.121945074,0.027075592,0.149020667,3.427475331,0.291759941,0.009412427
32,,3,2,1,1,1.75,41,,0.26,0.54,0.09,0.04,5,5,23,-0.730887509,0.023668639,0.00103675,0.024705389,0.568223955,1.759869486,-1.286266624
32,,3,2,1,1,1.75,43,,4.65,3.67,1.48,1.13,5,5,23,0.236675558,0.020145682,0.018953643,0.039099325,0.899284471,1.111995183,0.26318208
35,Verburg et al.2005,2,3,1,1,2.95,3,,12.92,13.57,3.69,6.6,10,10,4,-0.049349286,0.008180091,0.023685736,0.031865827,0.127463308,7.845395013,-0.387164645
35,,2,3,1,1,2.95,15,,21.27,23.09,11.88,11.62,10,10,4,-0.082217808,0.031203587,0.025321129,0.056524716,0.226098862,4.422844011,-0.363636539
35,,2,3,1,1,2.95,3,,1.67,0.83,0.76,1.08,10,10,4,0.703199516,0.021023756,0.171516458,0.192540213,0.770160854,1.298430055,0.913055387
35,,2,3,1,1,2.95,15,,2.61,1.11,1.61,0.61,10,10,4,0.855855792,0.037982496,0.029906811,0.067889307,0.271557227,3.68246506,3.15165905
38,Hobbie and Chapin 1998,6,4,1,2,0.75,24,,3.24,3.5,1.3,1.83,5,5,4,-0.077189639,0.03204542,0.054889796,0.086935216,0.347740863,2.875704599,-0.221974599
38,,6,4,1,2,0.75,30,,8.59,10.26,0.73,3.76,5,5,4,-0.177654104,0.001447574,0.026797479,0.028245053,0.112980211,8.851107599,-1.572435588
38,,6,4,1,2,0.75,24,,0.27,0.38,0.11,0.16,5,5,4,-0.341749294,0.034293553,0.033933518,0.068227071,0.272908283,3.664234695,-1.252249619
38,,6,4,1,2,0.75,30,,0.35,0.36,0.05,0.06,5,5,4,-0.028170877,0.003306122,0.006125,0.009431122,0.03772449,26.50797944,-0.746753028
42,Stuart Chapin III.et al.1995,6,4,1,1,2.2,84,,7.3,3.9,13.6,2.8,4,4,7,0.626897795,0.867442963,0.128823674,0.996266637,6.973866461,0.143392479,0.089892429
42,,6,4,1,1,2.2,88,,12.2,7.6,26,6.4,4,4,7,0.473287704,1.135104555,0.177231778,1.312336334,9.186354335,0.108857112,0.051520733
42,,6,4,1,1,2.2,76,,338,5.3,891.87,2,4,4,7,4.155339075,1.740624692,0.035589106,1.776213799,12.43349659,0.080427898,0.334205189
42,,6,4,1,1,2.2,84,,5.8,4.8,3.6,1.2,4,4,7,0.189242,0.096284825,0.015620281,0.111905106,0.783335745,1.276591814,0.241584788
42,,6,4,1,1,2.2,88,,15.6,3.6,50.39,3.6,4,4,7,1.466337069,2.608679396,0.2499245,2.858603896,20.01022728,0.049974445,0.073279381
42,,6,4,1,1,2.2,98,0.24175836,3.3,2.2,2.8,1.2,4,4,7,0.405465108,0.17992728,0.074357702,0.254284983,1.779994878,0.561799369,0.227790042
42,,6,4,1,1,2.2,98,,1.4,1.4,1.2,1.6,4,4,7,0,0.183618,0.326432,0.51005,3.57035,0.280084586,0
43,Jonasson et al.1993,2,4,1,2,0.9,24,0.01646649,52.96,55.19,10.68,12.09,6,6,8,-0.041221176,0.006782351,0.007999458,0.014781809,0.118254475,8.456339591,-0.348580264
43,,2,4,1,2,0.9,24,0.032666221,60.63,55.19,12.82,12.09,6,6,8,0.094134298,0.007448035,0.007999458,0.015447494,0.123579949,8.091927594,0.761727924
43,,2,4,1,2,0.9,27,0.007425777,52.66,60.84,16.37,21.36,6,6,8,-0.144401463,0.016110427,0.020547395,0.036657822,0.293262574,3.409913468,-0.492396492
43,,2,4,1,2,0.9,27,0.029377878,58.88,60.84,11.4,21.36,6,6,8,-0.032707478,0.006244957,0.020547395,0.026792352,0.214338819,4.665510455,-0.152597079
43,,2,4,1,2,1.1,24,0.007401958,29.35,22.19,6.45,6.37,6,6,8,0.279483094,0.008044028,0.013742796,0.021786823,0.174294587,5.737412835,1.603509891
43,,2,4,1,2,1.9,24,0,26.3,22.19,4.61,6.37,6,6,8,0.169788078,0.005120844,0.013742796,0.018863639,0.150909116,6.626504931,1.125101534
43,,2,4,1,2,1.1,27,-0.019663555,52.15,47.04,9.11,10.93,6,6,8,0.103181068,0.005086113,0.009002167,0.01408828,0.112706238,8.872623337,0.915486752
43,,2,4,1,2,1.9,27,-0.019663555,47.97,47.04,14.63,10.93,6,6,8,0.019752351,0.015490637,0.009002167,0.024492804,0.195942433,5.103539771,0.10080691
46,Sherry et al. 2008 ,3,2,1,1,4.2,3,-0.323491525,51.82,69.6,25.47,26.86,6,6,8,-0.294955304,0.040276509,0.024830724,0.065107233,0.520857865,1.919909572,-0.566287511
46,,3,2,1,1,4.2,6,,41.04,32.15,22.7,9.73,6,6,8,0.244099189,0.050967705,0.015253175,0.06622088,0.529767042,1.887622145,0.460767034
46,,3,2,1,1,4.2,8,,32.34,21.94,13.9,10.19,6,6,8,0.388074138,0.030766889,0.035955567,0.066722456,0.533779651,1.873432225,0.727030597
46,,3,2,1,1,4.2,10,,47.09,25.53,18.53,6.95,6,6,8,0.612178731,0.025795635,0.012340936,0.038136571,0.30509257,3.277693718,2.006534383
46,,3,2,1,1,4.2,12,,12.29,12.48,2.78,5.09,6,6,8,-0.015273511,0.008518088,0.027764447,0.036282535,0.290260282,3.445183721,-0.052620053
46,,3,2,1,1,4.2,12,,9.65,17.97,3.24,18.53,6,6,8,-0.622051095,0.018832313,0.177213941,0.196046254,1.568370029,0.637604635,-0.396622661
46,,3,2,1,1,4.2,12,,25.15,35.56,15.28,26.86,6,6,8,-0.346092665,0.061538208,0.095139356,0.156677564,1.253420514,0.797816845,-0.276118558
46,,3,2,1,1,4.2,12,,9.65,11.73,4.17,3.24,6,6,8,-0.195311461,0.031128771,0.012740489,0.043869261,0.350954087,2.849375569,-0.556515706
,,,,,,,,,,,,,,,,,,,,,19.04847673,3.418029643
,,,,,,,,,,,,,,,,,,,,,0.179438476,
